"","clust","gene.name","tail.prob.phi","class.phi","estimated.dispersion"
"1",1,"Gm29398",0.760217983651235,"DD",0.0096631212351176
"2",1,"Samd3",0.760217983651235,"DD",0.00978670298532609
"3",1,"C230057M02Rik",0.761126248864678,"DD",0.00959315335541515
"4",1,"Prrt1",0.761126248864678,"DD",0.0112554935847336
"5",1,"Wnt10a",0.76203451407812,"DD",0.0103332519301211
"6",1,"Ramp1",0.76203451407812,"DD",0.00966767757425519
"7",1,"Gpr88",0.76203451407812,"DD",0.0115568967278461
"8",1,"Cpeb1",0.76203451407812,"DD",0.00921369911226178
"9",1,"Kctd4",0.763851044505005,"DD",0.0104724705141596
"10",1,"Cacng2",0.763851044505005,"DD",0.00915744410982667
"11",1,"6530403H02Rik",0.764759309718447,"DD",0.00934686565802186
"12",1,"2310067P03Rik",0.764759309718447,"DD",0.011062055356572
"13",1,"St8sia3",0.76566757493189,"DD",0.021587980645519
"14",1,"Kcnh4",0.766575840145332,"DD",0.00869565544952462
"15",1,"Prdm13",0.770208900999101,"DD",0.0116610636410526
"16",1,"Tbc1d30",0.770208900999101,"DD",0.0100083350754674
"17",1,"Gm17322",0.770208900999101,"DD",0.0112533242649341
"18",1,"Rasgef1c",0.772933696639428,"DD",0.00982485702726359
"19",1,"Creb3l1",0.773841961852871,"DD",0.0114579020466302
"20",1,"Gm3693",0.774750227066313,"DD",0.0623632135372764
"21",1,"C78859",0.77747502270664,"DD",0.00845353993294445
"22",1,"Pabpc5",0.778383287920082,"DD",0.0104979330270845
"23",1,"Scg2",0.782016348773852,"DD",0.0100945434495678
"24",1,"Gm266",0.782016348773852,"DD",0.637694339967114
