"","clust","gene.name","tail.prob.phi","class.phi","estimated.dispersion"
"1",6,"Kctd8",0.761126248864678,"DD",0.0106895781429331
"2",6,"Gm41231",0.761126248864678,"DD",0.0119250040139462
"3",6,"Foxr1",0.761126248864678,"DD",0.0116552218704533
"4",6,"Adora1",0.76203451407812,"DD",0.0128195675655076
"5",6,"Fam46a",0.76203451407812,"DD",0.0118912846711173
"6",6,"Rsad2",0.76203451407812,"DD",0.0153027567781655
"7",6,"Mcm3",0.762942779291563,"DD",0.329816345334565
"8",6,"Spink2",0.762942779291563,"DD",0.013428604252229
"9",6,"Gm26802",0.762942779291563,"DD",0.0103994912685631
"10",6,"Cpne8",0.762942779291563,"DD",0.0125921449712072
"11",6,"Tnfaip6",0.763851044505005,"DD",0.0121150382175939
"12",6,"Folr1",0.763851044505005,"DD",0.0138935028712995
"13",6,"2310067P03Rik",0.763851044505005,"DD",0.013355426485832
"14",6,"Zfp503",0.764759309718447,"DD",0.00464865539984476
"15",6,"AU023762",0.764759309718447,"DD",0.0132564641613509
"16",6,"Olfr1459",0.764759309718447,"DD",0.0122465747177895
"17",6,"Nos1",0.76566757493189,"DD",0.654715454593858
"18",6,"Stac",0.76566757493189,"DD",0.0142653476526686
"19",6,"Cdk6",0.768392370572217,"DD",0.176838897236454
"20",6,"Ush1c",0.768392370572217,"DD",1.92783308999545
"21",6,"Arhgap24",0.769300635785659,"DD",0.0123857888406276
"22",6,"Mb21d1",0.769300635785659,"DD",0.0114939921194245
"23",6,"C330021F23Rik",0.771117166212544,"DD",0.0113371212688214
"24",6,"Dact2",0.775658492279755,"DD",0.0121180253454405
"25",6,"Plk5",0.77747502270664,"DD",0.0109721380624485
"26",6,"Mid2",0.781108083560409,"DD",0.0131337588833137
"27",6,"Fam19a2",0.782016348773852,"DD",0.0128617079535809
"28",6,"Htra1",0.788374205267948,"DD",0.0122022698902726
"29",6,"Gm28175",0.795640326975487,"DD",0.0114271348276225
"30",6,"Ppfia2",0.807447774750237,"DD",1.32851051050683
"31",6,"Plvap",0.81653042688466,"DD",0.00678905500465199
"32",6,"Foxj1",0.834695731153507,"DD",0.00938110898579504
"33",6,"Phgdh",0.83560399636695,"DD",0.869316824040367
"34",6,"Cks1b",0.880108991825624,"DD",1.76689991463077
"35",6,"Mlf1",0.902815622161683,"DD",0.0103075810036018
"36",6,"Lockd",0.940962761126261,"DD",0.442664838349574
"37",6,"Nrarp",0.955495004541338,"DD",0.278837765358568
"38",6,"Dmrta2",0.968210717529531,"DD",1.14919845659385
"39",6,"Rspo3",0.997275204359686,"DD",0.00835617549162095
