"","clust","gene.name","tail.prob.mu","class.mu","estimated.mean"
"1",4,"Kifc3",0.630336058128981,"DE",0.0190004147775809
"2",4,"Spink2",0.631244323342423,"DE",0.0374097890550665
"3",4,"Rhoj",0.631244323342423,"DE",0.0193527235118923
"4",4,"Ank1",0.632152588555866,"DE",0.0183081692846789
"5",4,"Tcf7l2",0.63396911898275,"DE",0.265486936021622
"6",4,"Gm29771",0.645776566757501,"DE",0.0391165166737789
"7",4,"Nxph1",0.645776566757501,"DE",0.0399805487166945
"8",4,"Plek2",0.65304268846504,"DE",0.0196566132792023
"9",4,"Bcan",0.657584014532251,"DE",0.153784531136716
"10",4,"Plvap",0.657584014532251,"DE",0.0601409923450224
"11",4,"Nr4a3",0.658492279745694,"DE",0.0191045507732336
"12",4,"Vit",0.662125340599463,"DE",0.0181108651084848
"13",4,"Pdzph1",0.666666666666675,"DE",0.0190319150701161
"14",4,"Rnase4",0.672116257947329,"DE",0.0190002526746544
"15",4,"Ctsh",0.675749318801098,"DE",0.0389326863393553
"16",4,"Lrrc73",0.677565849227983,"DE",0.148477878373521
"17",4,"Krt17",0.681198910081752,"DE",0.0196855710336896
"18",4,"Shisa8",0.682107175295194,"DE",0.0191102946049032
"19",4,"Wnt10a",0.683015440508637,"DE",0.0414591864781606
"20",4,"Dlx6os1",0.683015440508637,"DE",0.420051517499267
"21",4,"Prph",0.683015440508637,"DE",0.038432136876075
"22",4,"Eda2r",0.691189827429618,"DE",0.0190182776644234
"23",4,"Nanog",0.694822888283387,"DE",0.017977945673998
"24",4,"Caly",0.696639418710272,"DE",0.0597536437454414
"25",4,"Cpne5",0.708446866485022,"DE",0.0409261360156039
"26",4,"Taco1os",0.715712988192561,"DE",0.0590739734755113
"27",4,"Dusp8",0.722070844686657,"DE",0.560036060674908
"28",4,"Ramp2",0.722070844686657,"DE",0.0183695088320629
"29",4,"Nav2",0.733878292461408,"DE",0.242296819452656
"30",4,"Lgals7",0.736603088101735,"DE",0.290164420096617
"31",4,"Tubg2",0.741144414168946,"DE",0.0614327964743641
"32",4,"Olfml3",0.7465940054496,"DE",0.0190847212949738
"33",4,"Unc5d",0.774750227066313,"DE",0.91165212382038
"34",4,"Gas1",0.785649409627621,"DE",6.34471055057399
"35",4,"Dlx1",0.78928247048139,"DE",0.773372595576285
"36",4,"Lpl",0.790190735694833,"DE",0.650233480145819
"37",4,"Junb",0.801998183469583,"DE",0.21510001727579
"38",4,"Nrp2",0.83197093551318,"DE",1.58886900414631
"39",4,"Lpar1",0.836512261580392,"DE",3.29158178609294
"40",4,"Dok5",0.846503178928258,"DE",0.659122006940293
"41",4,"Isyna1",0.846503178928258,"DE",1.12962415978426
"42",4,"Fam107a",0.854677565849239,"DE",0.853119672188245
"43",4,"Svop",0.900090826521356,"DE",1.15767583044791
"44",4,"Ntng1",0.915531335149875,"DE",0.0407290125549149
"45",4,"Lrrfip1",0.927338782924626,"DE",0.254529848256494
"46",4,"Myt1l",0.968210717529531,"DE",1.97617400842393
"47",4,"Dctd",0.999091734786571,"DE",0.147007873723763
"48",4,"Neurog1",1.00000000000001,"DE",15.4269420139869
