"","gene.name","mean.exp","mean.disp","mean.disp2","opt.exp","opt.disp","opt.disp2"
"1","Rgs20",3.29890146538734,3.1283417549924,1.25721269497733,1.00000000000001,0.767484105358774,0.361489554950049
"2","St18",3.69091532609532,2.60681370154169,2.1116425838375,1.00000000000001,0.53678474114442,0.727520435967311
"3","3110035E14Rik",3.79820520064206,2.22033236906131,1.96425863540149,1.00000000000001,0.401453224341512,0.643051771117174
"4","1700034P13Rik",1.93311698284675,2.43119745830111,1.27488946158172,0.320617620345144,0.431425976385109,0.356039963669395
"5","Eya1",3.22873088421532,2.66861354462798,1.12108843096603,0.984559491371493,0.559491371480479,0.298819255222528
"6","Kcnb2",3.93447032620705,3.9139176719239,1.4448700296713,1.00000000000001,0.881925522252509,0.42779291553134
"7","Terf1",1.39276050954202,1.86391233236408,1.44615223076495,0.00635785649409627,0.277929155313354,0.449591280653956
"8","Gdap1",2.65762897218343,2.01834844619989,1.1047555048744,0.837420526793834,0.31516802906449,0.280653950953681
"9","Mcm3",3.40179171246277,3.01514593206239,1.73722529141341,1.00000000000001,0.821980018165315,0.584014532243422
"10","Ogfrl1",0.531310488758572,1.63883648752144,1.72698251552311,0,0.170753860127158,0.584014532243422
"11","B3gat2",3.42478323400461,2.65018763466217,1.65706902639649,1.00000000000001,0.626702997275212,0.546775658492286
"12","Adgrb3",1.99277304443826,1.96596349647382,1.24943417560469,0.211625794732063,0.323342415985471,0.356039963669395
"13","Khdrbs2",3.03698665470834,2.40949137100131,2.5204197644764,1.00000000000001,0.448683015440513,0.950045413260684
"14","Prim2",1.69291353271836,2.44790392214748,1.28634864897706,0.033605812897366,0.484105358764765,0.363306085376934
"15","Bag2",2.32739552506319,2.96203724540696,1.66390222550142,0.0890099909173478,0.723887375113542,0.561307901907363
"16","Bend6",4.24701814201827,3.8620441068215,1.54419006155667,1.00000000000001,0.828337874659411,0.48228882833788
"17","Ptpn18",2.45804026241555,2.85043906489503,2.33152159325864,0.501362397820169,0.580381471389652,0.798365122615814
"18","Aff3",2.15656167416776,2.31528078155175,1.15286920447715,0.0163487738419618,0.447774750227071,0.308810172570393
"19","Gm16152",2.66216439447023,2.81171248641247,2.23984359522,0.892824704813817,0.652134423251597,0.896457765667586
"20","Creg2",3.94510737900771,3.74864015706799,1.95415829922109,0.92915531335151,0.7229791099001,0.64940962761127
"21","Gm29260",3.92641020520245,3.34085242749652,1.65161405977056,0.999091734786571,0.700272479564041,0.555858310626709
"22","Gm28175",3.21613078980066,4.51110543622039,1.22099613116366,0.709355131698465,0.826521344232526,0.33878292461399
"23","Pantr1",2.69506095756674,0.789280537156443,1.0033022818314,1.00000000000001,0,0.0890099909173478
"24","Pou3f3",2.40274550762148,2.9884735554491,2.11827853211882,0.119891008174387,0.957311534968223,0.908265213442337
"25","Fhl2",2.23721378461492,3.21706124850199,2.74601059566431,0.378746594005453,0.796548592188929,0.916439600363318
"26","Tex30",0.667296682305832,2.12336102332466,1.68141116487721,0,0.361489554950049,0.573115349682114
"27","Nab1",1.02664395256562,1.47289096770918,1.67349659153719,0.00181653042688465,0.114441416893733,0.55222524977294
"28","Pgap1",1.69516191522519,2.24664493260844,2.37208094163034,0.0463215258855586,0.321525885558586,0.891916439600375
"29","Ankrd44",2.65963284178943,2.51441465397402,1.38129158610696,0.514986376021804,0.475930971843784,0.401453224341512
"30","Hspd1",0.458730786755856,1.36589556615848,1.52193359167992,0,0.0317892824704814,0.498637602179842
"31","Hspe1",0.474258843042945,2.03861101300819,2.12020922701093,0,0.130790190735695,0.959128065395108
"32","Plcl1",3.44215497061242,3.19577472255512,1.39022731358806,0.997275204359686,0.713896457765676,0.443233424159859
"33","Satb2",3.06759093668965,2.49746309326372,1.38352970781459,0.977293369663954,0.480472297910995,0.417801998183474
"34","Spats2l",2.8142923779912,2.79460542541102,1.25276338244593,0.683015440508637,0.590372388737518,0.348773841961856
"35","Sgol2a",3.88306323157747,3.13973084138315,1.38331315628393,1.00000000000001,0.773841961852871,0.422343324250686
"36","Nop58",0.615556725347842,1.9501842040046,1.85388015124909,0,0.195277020890101,0.687556766575848
"37","Carf",0.513818236432043,2.6570555927898,2.55399420142827,0.0036330608537693,0.538601271571305,0.903723887375125
"38","Nrp2",3.69359060402775,2.90792233705106,3.00568318525245,1.00000000000001,0.635785649409635,0.965485921889204
"39","Klf7",3.08719683294624,2.46891631259198,2.32065282406379,1.00000000000001,0.514078110808362,0.855585831062681
"40","D630023F18Rik",3.65663678822496,3.39599310326335,1.5015523201835,0.855585831062681,0.645776566757501,0.469573115349687
"41","Map2",0.765808941948619,1.44857879191876,1.05434876875831,0,0.112624886466848,0.271571298819257
"42","Acadl",2.86910889392818,2.91555299462199,1.22097481614742,0.993642143505917,0.665758401453232,0.336058128973663
"43","Bard1",3.03542298748366,3.03005269229771,1.16899978772074,0.996366939146244,0.697547683923714,0.306085376930066
"44","Fn1",3.01976109631537,3.13052758155669,1.24023713097383,0.995458673932801,0.715712988192561,0.346957311534971
"45","Tmem169",4.16111809470169,4.67299539531752,1.40648757091571,1.00000000000001,0.955495004541338,0.425068119891013
"46","March4",4.07565561825501,3.77500532453784,1.19752628193486,0.992733878292474,0.80472297910991,0.33878292461399
"47","Igfbp2",0.504375826592705,1.21973080306933,1.61776856724964,0,0.000908265213442325,0.739327883742062
"48","Igfbp5",4.15239727749346,4.10969139775033,1.23499067613985,0.999091734786571,0.868301544050874,0.324250681198913
"49","Cxcr2",2.10773885808268,2.80867567519533,2.31376855701678,0.358764759309722,0.623069936421442,0.821980018165315
"50","Wnt10a",3.26102053429628,4.48275208619734,1.42685759436513,0.747502270663043,0.846503178928258,0.410535876475935
"51","Tuba4a",3.5114267538862,1.87927292311017,2.70989330664357,1.00000000000001,0.208900999091736,0.942779291553146
"52","Resp18",3.68226578176195,3.48006905878288,1.93612018479757,0.851044504995469,0.647593097184386,0.639418710263404
"53","Tmem198",2.81971538130312,2.72786565132054,1.50643141687453,0.968210717529531,0.591280653950961,0.45504087193461
"54","Scg2",4.06706746780196,3.59336665750116,1.72527489949103,0.912806539509548,0.683923705722079,0.557674841053594
"55","Serpine2",3.23069507402817,2.64961530321408,4.19025887381752,0.982742960944608,0.52497729336967,1.00000000000001
"56","Sphkap",4.69031790218378,5.69127523880878,1.28374548447124,0.994550408719359,0.959128065395108,0.353315168029068
"57","Pid1",0.553331653588196,1.82722613641835,1.76266409955,0.00272479564032698,0.262488646684834,0.601271571298826
"58","Dner",3.63837809043145,3.14574088430775,1.3427376665942,1.00000000000001,0.781108083560409,0.399636693914627
"59","2810459M11Rik",4.8617276775516,4.56713398655052,1.22630903338829,1.00000000000001,0.933696639418722,0.341507720254317
"60","Ncl",0.512370139096338,0.886384208423968,0.951432382162538,0,0.00817438692098092,0.181653042688466
"61","Ptma",0.246454350513163,1.27350960244134,1.29189891235849,0,0.00908265213442325,0.320617620345144
"62","Nppc",2.65856586158726,2.68238705260557,3.2787011724171,0.498637602179842,0.557674841053594,0.98728428701182
"63","Usp40",0.322960300483181,2.44013430755344,2.00592776950935,0,0.477747502270668,0.727520435967311
"64","Hjurp",2.59785420866291,1.65179719375609,1.77824979841891,0.845594913714815,0.191643960036332,0.623978201634885
"65","Ackr3",3.52247183965198,1.88725905703321,1.29475244971679,1.00000000000001,0.239782016348775,0.386920980926434
"66","Lrrfip1",2.71480116716897,2.75959795330479,1.03838124686299,0.725703905540427,0.607629427792923,0.258855585831065
"67","Ramp1",4.38223136767835,3.60086614663696,2.35676897289797,0.980018165304281,0.632152588555866,0.766575840145332
"68","Hes6",0.963975634846287,2.89806942988988,2.97688380867246,0,0.797456857402371,1.00000000000001
"69","Dtymk",0.654709207088607,1.8322652286551,2.00642706109196,0,0.237965485921891,0.700272479564041
"70","St8sia4",0.925903246601009,1.728013482753,1.52171162395044,0.00272479564032698,0.208900999091736,0.468664850136245
"71","D1Ertd622e",0.647554845384504,1.43316539261158,1.61165863986024,0,0.133514986376022,0.545867393278844
"72","Pam",2.49432086087707,1.14268137196192,2.25948156226158,0.472297910990014,0.0772025431425976,0.821980018165315
"73","Gm7967",1.95670525077993,2.48516567602328,1.26962086310882,0.318801089918259,0.445958219800186,0.359673024523164
"74","Bcl2",1.10659419806685,1.38737395864342,1.23336012556458,0.00454132606721163,0.138056312443234,0.2960944595822
"75","Serpinb2",5.12754321242058,3.926281931777,1.92049811100094,1.00000000000001,0.858310626703008,0.64940962761127
"76","Cdh7",2.61625593676199,3.09621158661461,1.35635711661103,0.61035422343325,0.69209809264306,0.398728428701185
"77","Cntnap5a",4.17002074023978,4.56951036648942,1.31224795460498,0.952770208901011,0.854677565849239,0.366030881017261
"78","Gm28209",4.4503675824209,4.78804722935148,1.27632072022806,0.982742960944608,0.870118074477758,0.362397820163491
"79","Sctr",2.85058225828286,4.05930726875614,1.2919524432891,0.570390554041787,0.755676657584024,0.359673024523164
"80","Tmem37",3.87271452175852,4.73853068827301,1.27969551052283,0.827429609445969,0.834695731153507,0.366939146230703
"81","Dbi",0.96176671241494,1.96211758717561,2.31638222419682,0,0.153496821071753,0.993642143505917
"82","Lypd1",2.48543434196013,2.56175693550539,2.20779053862119,0.445049954586744,0.43960036330609,0.752043596730254
"83","Tmem163",1.96768709458815,2.84775133707281,3.20335747918214,0.00908265213442325,0.70753860127158,1.00000000000001
"84","Mcm6",3.02726382123715,1.56614781667554,1.03550156347466,1.00000000000001,0.14441416893733,0.222524977293371
"85","Cxcr4",3.07201333168347,3.33433802068624,3.80774877522182,0.607629427792923,0.897366030881029,1.00000000000001
"86","Thsd7b",3.2139876882665,2.76910714960622,1.80704938284951,0.821071752951872,0.547683923705728,0.584014532243422
"87","Mapkapk2",0.601686363798279,1.81138715645106,1.92885101540327,0,0.242506811989103,0.651226158038155
"88","Fam72a",3.27941428267846,4.43644459590159,1.27356813514493,1.00000000000001,0.800181653042698,0.349682107175298
"89","Nucks1",0.602503054143966,2.07639227394224,2.03627286752081,0,0.232515894641237,0.814713896457776
"90","Klhdc8a",3.85157013665427,3.12336246361123,1.96197718720478,1.00000000000001,0.700272479564041,0.691189827429618
"91","Nuak2",2.6385581739916,1.96305709783974,1.09628459600366,0.55222524977294,0.302452316076297,0.277929155313354
"92","Cntn2",3.84999514611209,1.25947710520597,2.30998716174732,1.00000000000001,0.0944595821980018,0.850136239782027
"93","Nfasc",2.13764131996801,2.36647854720427,1.10018399669329,0.00635785649409627,0.437783832879205,0.267029972752046
"94","Lrrn2",4.14284882057948,3.7593431511896,1.31277605491347,0.872842870118085,0.710263396911907,0.378746594005453
